Date,RegionName,State,Metro,County,City,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
2/28/19,19148,PA,Philadelphia-Camden-Wilmington,Philadelphia County,Philadelphia,557,1309,-0.003805175,-0.001525553,0.007698229,20056
2/28/19,92130,CA,San Diego-Carlsbad,San Diego County,San Diego,558,4150,0.002899952,0.013183594,0.018904984,17114
2/28/19,7305,NJ,New York-Newark-Jersey City,Hudson County,Jersey City,559,1935,-0.00309119,0.000517063,0.022727273,14256
2/28/19,90640,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Montebello,560,2500,0.002405774,0.016260163,0.029230136,11541
2/28/19,32771,FL,Orlando-Kissimmee-Sanford,Seminole County,Sanford,561,1461,0.003434066,0.022393282,0.074264706,16991
2/28/19,27407,NC,Greensboro-High Point,Guilford County,Greensboro,562,1075,0.011288805,0.062252964,0.107106076,14487
2/28/19,94087,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,Sunnyvale,563,4331,0.005805852,0.022909778,0.043363045,14749
2/28/19,2135,MA,Boston-Cambridge-Newton,Suffolk County,Boston,564,2457,-0.002030869,-0.001625356,0.006142506,19115
2/28/19,19131,PA,Philadelphia-Camden-Wilmington,Philadelphia County,Philadelphia,565,1233,0.004071661,0.019008264,0.031799163,12880
2/28/19,20904,MD,Washington-Arlington-Alexandria,Montgomery County,Silver Spring,566,2341,0.001283148,0.011668107,0.018268813,13002
2/28/19,77373,TX,Houston-The Woodlands-Sugar Land,Harris County,Spring,567,1420,0.002117149,0.015010722,0.032727273,19417
2/28/19,33141,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Miami Beach,568,1892,0.004779607,0.019396552,0.023809524,23641
2/28/19,33436,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,Boynton Beach,569,1881,0.0032,0.032381998,0.023952096,18943
2/28/19,73013,OK,Oklahoma City,Oklahoma County,Edmond,570,1430,0.004213483,0.035481535,0.040756914,18821
2/28/19,1201,MA,Pittsfield,Berkshire County,Pittsfield,571,1412,0.011461318,0.097978227,0.134136546,14868
2/28/19,75098,TX,Dallas-Fort Worth-Arlington,Collin County,Wylie,572,1757,0.003426613,0.023296447,0.037190083,16008
2/28/19,75204,TX,Dallas-Fort Worth-Arlington,Dallas County,Dallas,573,1852,0.005428882,0.014238773,0.015350877,6674
2/28/19,2151,MA,Boston-Cambridge-Newton,Suffolk County,Revere,574,2382,0.011035654,0.029386344,0.057256991,12713
2/28/19,8873,NJ,New York-Newark-Jersey City,Somerset County,Franklin,575,2195,-0.000910332,0.004117109,0.027140852,15779
2/28/19,97124,OR,Portland-Vancouver-Hillsboro,Washington County,Hillsboro,576,1834,0.001091703,0.014380531,0.017193566,13077
2/28/19,22407,VA,Washington-Arlington-Alexandria,Spotsylvania County,Fredericksburg,577,1634,0.003685504,0.014906832,0.02125,19500
2/28/19,6511,CT,New Haven-Milford,New Haven County,New Haven,578,1448,-0.00206754,0.005555556,0.021156559,8843
2/28/19,85255,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Scottsdale,579,3234,0.007476636,0.030592734,0.027645377,19900
2/28/19,95125,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose,580,3640,0.00110011,0.001375516,0.002202643,16163
2/28/19,54601,WI,La Crosse-Onalaska,La Crosse County,La Crosse,581,1174,-0.005084746,0.015570934,0.035273369,11841
2/28/19,90036,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,582,4198,-0.003087153,0.000715137,0.017450315,5343
2/28/19,92563,CA,Riverside-San Bernardino-Ontario,Riverside County,Murrieta,583,2205,0.002272727,0.017535764,0.02749301,17543
2/28/19,6457,CT,Hartford-West Hartford-East Hartford,Middlesex County,Middletown,584,1496,0.000668896,0.008086253,0.0260631,13641
2/28/19,19702,DE,Philadelphia-Camden-Wilmington,New Castle County,Newark,585,1467,-0.002040816,-0.010121457,0.014522822,16429
2/28/19,30075,GA,Atlanta-Sandy Springs-Roswell,Fulton County,Roswell,586,2312,0.00478053,0.002601908,0.019850022,19276
2/28/19,11354,NY,New York-Newark-Jersey City,Queens County,New York,587,2246,0.000445434,0.01308074,0.021838035,11745
2/28/19,98034,WA,Seattle-Tacoma-Bellevue,King County,Kirkland,588,2446,0.000408998,0.011579818,0.002459016,18310
2/28/19,78209,TX,San Antonio-New Braunfels,Bexar County,San Antonio,589,2170,-0.000460617,0.014967259,0.011655012,13893
2/28/19,45140,OH,Cincinnati,Clermont County,Loveland,590,1793,0.001116695,0.019908987,0.037015616,17695
